"Date","Close.Price","before","percent"
2018-03-28 12:00:00,8014.31,7942.15,0.908570098
2018-03-29 12:00:00,7492.81,8014.31,-6.507110406
2018-03-30 12:00:00,7019.73,7492.81,-6.31378615
2018-03-31 12:00:00,7182.64,7019.73,2.32074453
2018-04-01 12:00:00,6703.96,7182.64,-6.664401947
2018-04-02 12:00:00,7004.95,6703.96,4.489734426
2018-04-03 12:00:00,7357.53,7004.95,5.033297882
2018-04-04 12:00:00,7063.98,7357.53,-3.989790052
2018-04-05 12:00:00,6659.79,7063.98,-5.721845192
2018-04-06 12:00:00,6605.76,6659.79,-0.811286842
2018-04-07 12:00:00,6874.28,6605.76,4.064937267
2018-04-08 12:00:00,7080.11,6874.28,2.994204484
2018-04-09 12:00:00,6748.87,7080.11,-4.678458386
2018-04-10 12:00:00,6755.43,6748.87,0.097201457
2018-04-11 12:00:00,6857.35,6755.43,1.508712251
2018-04-12 12:00:00,7710.68,6857.35,12.44401992
2018-04-13 12:00:00,8196.23,7710.68,6.297109983
2018-04-14 12:00:00,7912.8,8196.23,-3.458053276
2018-04-15 12:00:00,8334.78,7912.8,5.332878374
2018-04-16 12:00:00,7945.29,8334.78,-4.673068755
2018-04-17 12:00:00,8093.76,7945.29,1.868654259
2018-04-18 12:00:00,8093.83,8093.76,0.000864864
2018-04-19 12:00:00,8233.08,8093.83,1.720446315
2018-04-20 12:00:00,8512.34,8233.08,3.391926229
2018-04-21 12:00:00,8757.74,8512.34,2.882873569
2018-04-22 12:00:00,8856.4,8757.74,1.126546346
2018-04-23 12:00:00,8941.92,8856.4,0.965629375
2018-04-24 12:00:00,9353.06,8941.92,4.597893965
2018-04-25 12:00:00,9146.99,9353.06,-2.20323616
2018-04-26 12:00:00,8893.2,9146.99,-2.774573931
2018-04-27 12:00:00,9286.16,8893.2,4.418656951
2018-04-28 12:00:00,9364.92,9286.16,0.848143904
2018-04-29 12:00:00,9245.08,9364.92,-1.279669234
2018-04-30 12:00:00,9290.41,9245.08,0.490314849
2018-05-01 12:00:00,8891.81,9290.41,-4.290445739
2018-05-02 12:00:00,9078.77,8891.81,2.10260903
2018-05-03 12:00:00,9322.93,9078.77,2.689351091
2018-05-04 12:00:00,9673.02,9322.93,3.755149937
2018-05-05 12:00:00,9916.54,9673.02,2.517517797
2018-05-06 12:00:00,9514.25,9916.54,-4.0567577
2018-05-07 12:00:00,9330.82,9514.25,-1.92795018
2018-05-08 12:00:00,9192.34,9330.82,-1.484113936
